#x               numerical u     analytic u
0               0.00449478            0
0.00199601       0.00889095       0.0177663
0.00299401       0.017635       0.0265025
0.00399202       0.0262823       0.035142
0.00499002       0.034834       0.0436858
0.00598802       0.0432909       0.0521349
0.00698603       0.0516539       0.0604902
0.00798403       0.0599241       0.0687526
0.00898204       0.0681024       0.076923
0.00998004       0.0761896       0.0850024
0.010978       0.0841866       0.0929916
0.011976       0.0920944       0.100892
0.0129741       0.0999139       0.108703
0.0139721       0.107646       0.116427
0.0149701       0.115291       0.124065
0.0159681       0.122851       0.131617
0.0169661       0.130326       0.139084
0.0179641       0.137716       0.146466
0.0189621       0.145024       0.153766
0.0199601       0.152249       0.160983
0.0209581       0.159392       0.168119
0.0219561       0.166455       0.175174
0.0229541       0.173437       0.182149
0.0239521       0.180341       0.189044
0.0249501       0.187166       0.195862
0.0259481       0.193914       0.202601
0.0269461       0.200584       0.209264
0.0279441       0.207179       0.215851
0.0289421       0.213698       0.222362
0.0299401       0.220143       0.228799
0.0309381       0.226514       0.235162
0.0319361       0.232812       0.241452
0.0329341       0.239037       0.24767
0.0339321       0.245191       0.253816
0.0349301       0.251274       0.259891
0.0359281       0.257286       0.265896
0.0369261       0.263229       0.271831
0.0379242       0.269104       0.277697
0.0389222       0.27491       0.283495
0.0399202       0.280648       0.289226
0.0409182       0.28632       0.29489
0.0419162       0.291926       0.300488
0.0429142       0.297466       0.30602
0.0439122       0.302941       0.311488
0.0449102       0.308352       0.316891
0.0459082       0.313699       0.32223
0.0469062       0.318984       0.327507
0.0479042       0.324206       0.332721
0.0489022       0.329367       0.337874
0.0499002       0.334466       0.342966
0.0508982       0.339505       0.347997
0.0518962       0.344484       0.352968
0.0528942       0.349404       0.35788
0.0538922       0.354265       0.362734
0.0548902       0.359068       0.367529
0.0558882       0.363814       0.372266
0.0568862       0.368503       0.376947
0.0578842       0.373135       0.381571
0.0588822       0.377711       0.38614
0.0598802       0.382232       0.390653
0.0608782       0.386698       0.395112
0.0618762       0.391111       0.399516
0.0628743       0.395469       0.403867
0.0638723       0.399775       0.408164
0.0648703       0.404027       0.412409
0.0658683       0.408228       0.416602
0.0668663       0.412377       0.420743
0.0678643       0.416475       0.424834
0.0688623       0.420523       0.428874
0.0698603       0.424521       0.432863
0.0708583       0.428469       0.436804
0.0718563       0.432368       0.440695
0.0728543       0.436218       0.444537
0.0738523       0.440021       0.448332
0.0748503       0.443776       0.452079
0.0758483       0.447483       0.455779
0.0768463       0.451144       0.459432
0.0778443       0.454759       0.463039
0.0788423       0.458328       0.4666
0.0798403       0.461852       0.470116
0.0808383       0.465331       0.473587
0.0818363       0.468766       0.477014
0.0828343       0.472157       0.480397
0.0838323       0.475504       0.483737
0.0848303       0.478808       0.487033
0.0858283       0.48207       0.490286
0.0868263       0.485289       0.493498
0.0878244       0.488466       0.496668
0.0888224       0.491602       0.499796
0.0898204       0.494698       0.502883
0.0908184       0.497752       0.50593
0.0918164       0.500767       0.508936
0.0928144       0.503741       0.511903
0.0938124       0.506676       0.51483
0.0948104       0.509573       0.517719
0.0958084       0.51243       0.520569
0.0968064       0.51525       0.52338
0.0978044       0.518032       0.526154
0.0988024       0.520776       0.52889
0.0998004       0.523483       0.53159
0.100798       0.526153       0.534252
0.101796       0.528787       0.536878
0.102794       0.531385       0.539469
0.103792       0.533948       0.542023
0.10479       0.536475       0.544542
0.105788       0.538967       0.547027
0.106786       0.541425       0.549477
0.107784       0.543848       0.551892
0.108782       0.546238       0.554274
0.10978       0.548594       0.556622
0.110778       0.550916       0.558937
0.111776       0.553206       0.561219
0.112774       0.555463       0.563468
0.113772       0.557688       0.565685
0.11477       0.559882       0.56787
0.115768       0.562043       0.570024
0.116766       0.564173       0.572146
0.117764       0.566272       0.574238
0.118762       0.568341       0.576298
0.11976       0.570379       0.578328
0.120758       0.572387       0.580329
0.121756       0.574365       0.582299
0.122754       0.576314       0.58424
0.123752       0.578234       0.586152
0.12475       0.580125       0.588035
0.125749       0.581987       0.589889
0.126747       0.58382       0.591715
0.127745       0.585626       0.593513
0.128743       0.587404       0.595283
0.129741       0.589155       0.597025
0.130739       0.590878       0.598741
0.131737       0.592574       0.600429
0.132735       0.594244       0.602091
0.133733       0.595887       0.603727
0.134731       0.597504       0.605336
0.135729       0.599096       0.606919
0.136727       0.600661       0.608477
0.137725       0.602201       0.610009
0.138723       0.603716       0.611516
0.139721       0.605207       0.612999
0.140719       0.606672       0.614456
0.141717       0.608113       0.61589
0.142715       0.609531       0.617299
0.143713       0.610924       0.618684
0.144711       0.612293       0.620046
0.145709       0.613639       0.621384
0.146707       0.614962       0.622699
0.147705       0.616262       0.623991
0.148703       0.617539       0.62526
0.149701       0.618794       0.626507
0.150699       0.620026       0.627731
0.151697       0.621236       0.628934
0.152695       0.622425       0.630114
0.153693       0.623591       0.631273
0.154691       0.624737       0.632411
0.155689       0.625861       0.633527
0.156687       0.626964       0.634622
0.157685       0.628047       0.635697
0.158683       0.629108       0.636751
0.159681       0.63015       0.637784
0.160679       0.631171       0.638798
0.161677       0.632172       0.639791
0.162675       0.633154       0.640765
0.163673       0.634116       0.641719
0.164671       0.635058       0.642653
0.165669       0.635982       0.643569
0.166667       0.636886       0.644465
0.167665       0.637771       0.645343
0.168663       0.638638       0.646202
0.169661       0.639487       0.647043
0.170659       0.640317       0.647865
0.171657       0.641129       0.648669
0.172655       0.641923       0.649456
0.173653       0.6427       0.650224
0.174651       0.643459       0.650975
0.175649       0.6442       0.651709
0.176647       0.644925       0.652425
0.177645       0.645632       0.653125
0.178643       0.646323       0.653808
0.179641       0.646997       0.654474
0.180639       0.647654       0.655123
0.181637       0.648295       0.655756
0.182635       0.64892       0.656373
0.183633       0.649528       0.656974
0.184631       0.650121       0.657559
0.185629       0.650698       0.658128
0.186627       0.65126       0.658682
0.187625       0.651806       0.65922
0.188623       0.652337       0.659743
0.189621       0.652853       0.660251
0.190619       0.653354       0.660744
0.191617       0.65384       0.661222
0.192615       0.654311       0.661686
0.193613       0.654768       0.662135
0.194611       0.65521       0.662569
0.195609       0.655639       0.66299
0.196607       0.656053       0.663396
0.197605       0.656453       0.663788
0.198603       0.65684       0.664167
0.199601       0.657212       0.664532
0.200599       0.657572       0.664883
0.201597       0.657917       0.665221
0.202595       0.65825       0.665546
0.203593       0.658569       0.665857
0.204591       0.658876       0.666156
0.205589       0.659169       0.666441
0.206587       0.65945       0.666714
0.207585       0.659718       0.666975
0.208583       0.659974       0.667222
0.209581       0.660217       0.667458
0.210579       0.660448       0.667681
0.211577       0.660667       0.667892
0.212575       0.660874       0.668091
0.213573       0.661069       0.668278
0.214571       0.661253       0.668454
0.215569       0.661424       0.668618
0.216567       0.661584       0.66877
0.217565       0.661733       0.668911
0.218563       0.66187       0.66904
0.219561       0.661997       0.669158
0.220559       0.662112       0.669266
0.221557       0.662216       0.669362
0.222555       0.662309       0.669447
0.223553       0.662392       0.669522
0.224551       0.662463       0.669586
0.225549       0.662525       0.669639
0.226547       0.662576       0.669682
0.227545       0.662616       0.669715
0.228543       0.662646       0.669737
0.229541       0.662667       0.669749
0.230539       0.662677       0.669752
0.231537       0.662677       0.669744
0.232535       0.662667       0.669726
0.233533       0.662648       0.669699
0.234531       0.662619       0.669662
0.235529       0.66258       0.669616
0.236527       0.662532       0.66956
0.237525       0.662475       0.669495
0.238523       0.662408       0.66942
0.239521       0.662332       0.669336
0.240519       0.662247       0.669244
0.241517       0.662154       0.669142
0.242515       0.662051       0.669031
0.243513       0.661939       0.668912
0.244511       0.661819       0.668784
0.245509       0.66169       0.668647
0.246507       0.661553       0.668501
0.247505       0.661407       0.668347
0.248503       0.661252       0.668185
0.249501       0.66109       0.668015
0.250499       0.660919       0.667836
0.251497       0.66074       0.667649
0.252495       0.660553       0.667454
0.253493       0.660358       0.667251
0.254491       0.660155       0.66704
0.255489       0.659944       0.666822
0.256487       0.659726       0.666595
0.257485       0.659499       0.666361
0.258483       0.659266       0.66612
0.259481       0.659024       0.665871
0.260479       0.658776       0.665614
0.261477       0.65852       0.66535
0.262475       0.658256       0.665079
0.263473       0.657986       0.664801
0.264471       0.657708       0.664515
0.265469       0.657423       0.664222
0.266467       0.657132       0.663923
0.267465       0.656833       0.663616
0.268463       0.656527       0.663303
0.269461       0.656215       0.662982
0.270459       0.655896       0.662656
0.271457       0.65557       0.662322
0.272455       0.655238       0.661982
0.273453       0.654899       0.661635
0.274451       0.654554       0.661282
0.275449       0.654202       0.660922
0.276447       0.653844       0.660556
0.277445       0.65348       0.660184
0.278443       0.653109       0.659805
0.279441       0.652732       0.659421
0.280439       0.652349       0.65903
0.281437       0.651961       0.658633
0.282435       0.651566       0.658231
0.283433       0.651165       0.657822
0.284431       0.650758       0.657407
0.285429       0.650346       0.656987
0.286427       0.649928       0.656561
0.287425       0.649504       0.65613
0.288423       0.649075       0.655692
0.289421       0.64864       0.655249
0.290419       0.648199       0.654801
0.291417       0.647753       0.654347
0.292415       0.647302       0.653888
0.293413       0.646845       0.653423
0.294411       0.646383       0.652953
0.295409       0.645916       0.652478
0.296407       0.645444       0.651998
0.297405       0.644966       0.651512
0.298403       0.644483       0.651022
0.299401       0.643996       0.650526
0.300399       0.643503       0.650026
0.301397       0.643005       0.64952
0.302395       0.642503       0.64901
0.303393       0.641995       0.648495
0.304391       0.641483       0.647974
0.305389       0.640966       0.64745
0.306387       0.640445       0.64692
0.307385       0.639918       0.646386
0.308383       0.639388       0.645847
0.309381       0.638852       0.645304
0.310379       0.638312       0.644756
0.311377       0.637768       0.644204
0.312375       0.637219       0.643647
0.313373       0.636666       0.643086
0.314371       0.636108       0.642521
0.315369       0.635546       0.641951
0.316367       0.63498       0.641377
0.317365       0.63441       0.640799
0.318363       0.633836       0.640216
0.319361       0.633257       0.63963
0.320359       0.632674       0.639039
0.321357       0.632088       0.638445
0.322355       0.631497       0.637846
0.323353       0.630902       0.637243
0.324351       0.630303       0.636637
0.325349       0.629701       0.636026
0.326347       0.629095       0.635412
0.327345       0.628484       0.634794
0.328343       0.62787       0.634172
0.329341       0.627253       0.633547
0.330339       0.626631       0.632917
0.331337       0.626006       0.632285
0.332335       0.625378       0.631648
0.333333       0.624745       0.631008
0.334331       0.62411       0.630364
0.335329       0.62347       0.629717
0.336327       0.622827       0.629066
0.337325       0.622181       0.628412
0.338323       0.621532       0.627754
0.339321       0.620878       0.627094
0.340319       0.620222       0.626429
0.341317       0.619562       0.625762
0.342315       0.618899       0.625091
0.343313       0.618233       0.624417
0.344311       0.617564       0.623739
0.345309       0.616891       0.623059
0.346307       0.616215       0.622375
0.347305       0.615536       0.621688
0.348303       0.614854       0.620998
