            # x        gen sol       spec sol      LU decomp      analytic 
    0.083333333      1.0307691     0.44797039      1.0307691     0.48207224
     0.16666667      1.3670937     0.59413646      1.3670937      0.6444653
           0.25       1.401614     0.60913893       1.401614     0.66792635
     0.33333333      1.3049707     0.56713792      1.3049707     0.63100781
     0.41666667      1.1513239     0.50036331      1.1513239      0.5678484
            0.5     0.97290352     0.42282213     0.97290352     0.49328475
     0.58333333     0.78371657     0.34060182     0.78371657     0.41376485
     0.66666667     0.58985049     0.25634797     0.58985049     0.33209097
           0.75     0.39395087     0.17121034     0.39395087     0.24948097
     0.83333333     0.19716748    0.085688634     0.19716748     0.16646413
