#x               numerical u     analytic u
0               0.0442835            0
0.0196078       0.0798529       0.158445
0.0294118       0.147448       0.225401
0.0392157       0.207881       0.285188
0.0490196       0.261821       0.338476
0.0588235       0.309873       0.385873
0.0686275       0.352588       0.427927
0.0784314       0.390464       0.465139
0.0882353       0.423952       0.497961
0.0980392       0.453463       0.526801
0.107843       0.479369       0.552033
0.117647       0.502005       0.573993
0.127451       0.521677       0.592987
0.137255       0.538662       0.609291
0.147059       0.553211       0.623158
0.156863       0.565551       0.634813
0.166667       0.575889       0.644465
0.176471       0.584411       0.6523
0.186275       0.591288       0.658488
0.196078       0.596672       0.663182
0.205882       0.600704       0.666523
0.215686       0.603509       0.668636
0.22549       0.605202       0.669636
0.235294       0.605887       0.669627
0.245098       0.605658       0.668704
0.254902       0.6046       0.666951
0.264706       0.602791       0.664447
0.27451       0.600301       0.661261
0.284314       0.597194       0.657457
0.294118       0.593527       0.653092
0.303922       0.589352       0.64822
0.313725       0.584717       0.642887
0.323529       0.579665       0.637137
0.333333       0.574235       0.631008
0.343137       0.568462       0.624536
0.352941       0.562378       0.617753
0.362745       0.556012       0.610688
0.372549       0.549391       0.603367
0.382353       0.542538       0.595814
0.392157       0.535475       0.588051
0.401961       0.528221       0.580097
0.411765       0.520795       0.571971
0.421569       0.513212       0.563688
0.431373       0.505488       0.555263
0.441176       0.497635       0.54671
0.45098       0.489665       0.538039
0.460784       0.48159       0.529263
0.470588       0.473418       0.520391
0.480392       0.46516       0.511432
0.490196       0.456823       0.502394
0.5       0.448415       0.493285
0.509804       0.439942       0.484111
0.519608       0.43141       0.474878
0.529412       0.422824       0.465591
0.539216       0.414191       0.456257
0.54902       0.405514       0.446878
0.558824       0.396797       0.43746
0.568627       0.388044       0.428006
0.578431       0.379259       0.418519
0.588235       0.370444       0.409003
0.598039       0.361602       0.39946
0.607843       0.352736       0.389893
0.617647       0.343848       0.380303
0.627451       0.33494       0.370694
0.637255       0.326014       0.361066
0.647059       0.317071       0.351422
0.656863       0.308114       0.341763
0.666667       0.299143       0.332091
0.676471       0.290159       0.322406
0.686275       0.281165       0.312711
0.696078       0.272161       0.303005
0.705882       0.263147       0.29329
0.715686       0.254126       0.283567
0.72549       0.245096       0.273836
0.735294       0.23606       0.264099
0.745098       0.227018       0.254355
0.754902       0.217971       0.244606
0.764706       0.208918       0.234851
0.77451       0.19986       0.225092
0.784314       0.190799       0.215329
0.794118       0.181733       0.205563
0.803922       0.172665       0.195792
0.813725       0.163593       0.186019
0.823529       0.154518       0.176243
0.833333       0.145441       0.166464
0.843137       0.136361       0.156683
0.852941       0.12728       0.1469
0.862745       0.118196       0.137115
0.872549       0.109111       0.127328
0.882353       0.100024       0.11754
0.892157       0.0909361       0.10775
0.901961       0.0818466       0.0979592
0.911765       0.072756       0.088167
0.921569       0.0636643       0.0783737
0.931373       0.0545716       0.0685796
0.941176       0.0454781       0.0587845
0.95098       0.0363838       0.0489887
0.960784       0.0272887       0.0391921
0.970588       0.0181931       0.0293949
0.980392       0.00909679       0.0195971
